model_id,model_name,model_type,aro_accession,aro_name,target_resistance_family,drug_classes,resistance_mechanisms,reference_taxa,n_model_sequences,has_snp_data,source,source_url,card_version
4236,ADC-168,protein homolog model,3006340,ADC-168,Beta-lactamase,cephalosporin,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
4237,ADC-169,protein homolog model,3006341,ADC-169,Beta-lactamase,cephalosporin,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
4238,ADC-170,protein homolog model,3006342,ADC-170,Beta-lactamase,cephalosporin,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3932,CMY-152,protein homolog model,3005216,CMY-152,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3933,CMY-97,protein homolog model,3002110,CMY-97,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3934,CMY-151,protein homolog model,3005217,CMY-151,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3935,CMY-128,protein homolog model,3003136,CMY-128,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3936,CMY-129,protein homolog model,3003137,CMY-129,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3992,TEM-229,protein homolog model,3005260,TEM-229,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,"Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance",1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3993,TEM-230,protein homolog model,3005261,TEM-230,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3937,CMY-127,protein homolog model,3003135,CMY-127,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3938,CMY-89,protein homolog model,3002102,CMY-89,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3939,CMY-153,protein homolog model,3005218,CMY-153,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3940,CMY-130,protein homolog model,3003138,CMY-130,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
4131,ACT-40,protein homolog model,3006235,ACT-40,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Enterobacter cloacae complex,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3941,CMY-144,protein homolog model,3005219,CMY-144,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3942,CMY-138,protein homolog model,3005220,CMY-138,Beta-lactamase,cephalosporin,antibiotic inactivation,Proteus mirabilis,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
