compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
T2Z9,DHPS,0.1553398058252427,0.1319987530061458,0.5568181818181818,CHEMBL422884,6.0,1000.0,CHEMBL4032,E. coli,22,0.128440366972477,0,0
T2Z9,FabH,0.1296296296296296,0.0948368859747331,0.4878048780487805,CHEMBL4100896,5.7,2000.0,CHEMBL4914,E. coli,6,0.1018518518518518,0,0
T2Z9,PBP2a,0.128440366972477,0.1178619864379736,0.3854166666666667,CHEMBL121924,4.82,15000.0,CHEMBL2549,S. aureus PBP4,17,0.1217391304347826,0,0
T2Z9,DHFR,0.1224489795918367,0.1210110835611503,0.3974358974358974,CHEMBL174753,5.55,2810.0,CHEMBL2329,C. albicans,232,0.1214953271028037,0,0
X1V11,Gyr,0.2837837837837837,0.265997924745221,0.44,CHEMBL4863169,7.96,11.0,CHEMBL2094139,E. coli complex,600,0.2631578947368421,0,0
X1V11,GyrB,0.282051282051282,0.2773230979515523,0.4337349397590361,CHEMBL3962799,5.7,2000.0,CHEMBL1826,E. coli,253,0.282051282051282,0,0
X1V11,TopoIV,0.25,0.2334712872015598,0.4210526315789473,CHEMBL4792402,5.8,1600.0,CHEMBL3038508,S. aureus complex,190,0.2439024390243902,0,0
X1V11,FabI,0.2463768115942029,0.2082019366845769,0.5733333333333334,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.2058823529411764,0,0
X1V11,MurA,0.2413793103448276,0.2118272042460514,0.4534883720930232,CHEMBL5219614,4.66,22000.0,CHEMBL1984,E. coli,94,0.2105263157894736,0,0
X1V11,DHPS,0.2307692307692307,0.2065505508589963,0.5714285714285714,CHEMBL158792,5.6,2500.0,CHEMBL4032,E. coli,22,0.2105263157894736,0,0
X1V11,DHFR,0.2238805970149253,0.212116614728555,0.3947368421052631,CHEMBL369237,5.5,3180.0,CHEMBL2329,C. albicans,232,0.2142857142857142,0,0
X1V11,LpxC,0.2142857142857142,0.204267446785979,0.5681818181818182,CHEMBL3647221,9.19,0.651,CHEMBL3855,P. aeruginosa,600,0.2125,0,0
X1V11,MurC,0.2105263157894736,0.1957327609166603,0.2763157894736842,CHEMBL199457,7.602059991327962,25.0,CHEMBL4732,E. coli,167,0.2073170731707317,0,0
X1V11,FabH,0.2025316455696202,0.1467273228466112,0.3902439024390244,CHEMBL4100896,5.7,2000.0,CHEMBL4914,E. coli,6,0.1641791044776119,0,0
X1V11,FtsZ,0.1851851851851851,0.1716049382716049,0.3369565217391304,CHEMBL3425608,4.0,100000.0,CHEMBL3999,E. coli,67,0.1744186046511628,0,0
X1V11,LpxH,0.1688311688311688,0.1598811096701392,0.7083333333333334,CHEMBL3667203,8.74,1.8,CHEMBL5855,E. coli,252,0.1604938271604938,0,0
X1V11,PBP2a,0.1149425287356321,0.106074984485779,0.4337349397590361,CHEMBL4634860,5.92,1200.0,CHEMBL6128,S. aureus PBP2,17,0.1098901098901098,0,0
X1V11,LpxA,0.0947368421052631,0.0947368421052631,0.3820224719101123,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
X1V19,GyrB,0.2816901408450704,0.2525559768869628,0.4477611940298507,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.25,0,0
X1V19,MurC,0.2692307692307692,0.2147995599470464,0.6571428571428571,CHEMBL271836,4.11,78000.0,CHEMBL4319,S. pneumoniae MurF,167,0.2048192771084337,0,0
X1V19,Gyr,0.2666666666666666,0.2599429223744292,0.4705882352941176,CHEMBL4863169,7.96,11.0,CHEMBL2094139,E. coli complex,600,0.2625,0,0
X1V19,TopoIV,0.2337662337662337,0.2170089531230296,0.4492753623188406,CHEMBL4792402,5.8,1600.0,CHEMBL3038508,S. aureus complex,190,0.2289156626506024,0,0
X1V19,DHFR,0.2142857142857142,0.1717385487289728,0.45,CHEMBL120783,6.5,320.0,CHEMBL2329,C. albicans,232,0.188235294117647,0,0
X1V19,FabI,0.2112676056338028,0.1732805166676757,0.4666666666666667,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.1780821917808219,0,0
X1V19,LpxC,0.2027027027027027,0.1971384083476293,0.4,CHEMBL1956131,9.19,0.64,CHEMBL3855,P. aeruginosa,600,0.2025316455696202,0,0
X1V19,DHPS,0.1969696969696969,0.166558371436767,0.8392857142857143,CHEMBL437,5.6,2500.0,CHEMBL4032,E. coli,22,0.1851851851851851,0,0
X1V19,MurA,0.1857142857142857,0.1613654430675707,0.3611111111111111,CHEMBL5171747,3.82,151000.0,CHEMBL1984,E. coli,94,0.1595744680851064,0,0
X1V19,LpxH,0.1688311688311688,0.1441260306720883,0.6428571428571429,CHEMBL3667203,8.74,1.8,CHEMBL5855,E. coli,252,0.1518987341772152,0,0
X1V19,FabH,0.1641791044776119,0.1223001767750168,0.1830985915492957,CHEMBL458164,7.7,20.0,CHEMBL4914,E. coli,6,0.144578313253012,0,0
X1V19,FtsZ,0.160919540229885,0.1494794311033526,0.325,CHEMBL3425693,4.57,27000.0,CHEMBL3999,E. coli,67,0.1477272727272727,0,0
X1V19,PBP2a,0.108695652173913,0.1017113783533765,0.3333333333333333,CHEMBL4776103,5.7,2000.0,CHEMBL6128,S. aureus PBP2,17,0.1063829787234042,0,0
X1V19,LpxA,0.0833333333333333,0.0833333333333333,0.3855421686746988,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
X1V20,GyrB,0.2816901408450704,0.2525559768869628,0.4411764705882353,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.25,0,0
X1V20,Gyr,0.2666666666666666,0.2574429223744292,0.463768115942029,CHEMBL4863169,7.96,11.0,CHEMBL2094139,E. coli complex,600,0.2602739726027397,0,0
X1V20,TopoIV,0.2439024390243902,0.2192816707166278,0.4074074074074074,CHEMBL4793192,6.54,290.0,CHEMBL3038508,S. aureus complex,190,0.2337662337662337,0,0
X1V20,FabI,0.2179487179487179,0.2009586574474215,0.1756756756756756,CHEMBL3623407,5.69,2040.0,CHEMBL3994,S. aureus,331,0.2125,0,0
X1V20,DHPS,0.2153846153846154,0.1715919514090245,0.8245614035087719,CHEMBL437,5.6,2500.0,CHEMBL4032,E. coli,22,0.1707317073170731,0,0
X1V20,MurC,0.2073170731707317,0.1791449114160688,0.647887323943662,CHEMBL271836,4.11,78000.0,CHEMBL4319,S. pneumoniae MurF,167,0.1847826086956521,0,0
X1V20,LpxC,0.1951219512195122,0.1860952180322982,0.4022988505747126,CHEMBL3647151,8.15,7.11,CHEMBL3855,P. aeruginosa,600,0.1948051948051948,0,0
X1V20,DHFR,0.1830985915492957,0.1636883929841676,0.3809523809523809,CHEMBL57459,7.05,90.0,CHEMBL2627,E. coli,232,0.1690140845070422,0,0
X1V20,LpxH,0.1772151898734177,0.1705698159586043,0.328125,CHEMBL5087398,7.94,11.5,CHEMBL5855,E. coli,252,0.173469387755102,0,0
