compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5,canonical_smiles,source_file,mw,logp,tpsa,hbd,hba,rotbonds,heavy_atoms,sulfonamide,beta_lactam,hydroxamate,diaminopyrimidine,xanthine,hydrazone,benzimidazole,benzothiazole,aryl_halide,similarity_component,top5_component,maccs_component,sar_bonus,evidence_score,organism_prior,evidence_tier
X1V19,FabH,0.1641791044776119,0.1223001767750168,0.3086419753086419,CHEMBL458164,7.7,20.0,CHEMBL4914,E. coli,6,0.144578313253012,0,0,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,357.4200000000001,2.26138,121.23,2,7,4,24,0,0,0,0,0,0,0,0,0,0.11668928086838523,0.09400039283337065,0.2980599647266313,0.0,0.12655373335152997,1.0,low
X1V20,FabH,0.1641791044776119,0.1217081935028347,0.3209876543209876,CHEMBL458164,7.7,20.0,CHEMBL4914,E. coli,6,0.144578313253012,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,compounds_normalized.sdf,333.398,1.7846999999999995,110.33,2,7,4,22,0,0,0,0,0,0,0,0,0,0.11668928086838523,0.09268487445074376,0.3156966490299823,0.0,0.1288703564013759,1.0,low
X1V26,FabH,0.2,0.1307252639557456,0.3522727272727273,CHEMBL458164,7.7,20.0,CHEMBL4914,E. coli,6,0.1309523809523809,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cc(Cl)ccc3O)sc2c1,compounds_normalized.sdf,382.854,2.748700000000001,117.67,3,7,4,24,0,0,0,0,0,0,0,0,1,0.18181818181818182,0.11272280879054578,0.3603896103896105,0.0,0.17314823466516893,1.0,low
X1V9,FabH,0.171875,0.130241916077947,0.325,CHEMBL458164,7.7,20.0,CHEMBL4914,E. coli,6,0.1645569620253164,0,0,Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,346.43700000000007,2.698120000000001,97.44,2,6,4,23,0,0,0,0,0,0,0,0,0,0.13068181818181815,0.11164870239543775,0.32142857142857145,0.0,0.14146737040405422,1.0,low
BI-1,FabI,0.2073170731707317,0.1938908208186292,0.5633802816901409,CHEMBL259268,5.75,1800.0,CHEMBL1075044,B. subtilis,331,0.2023809523809523,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.19512195121951215,0.2530907129302871,0.6619718309859156,0.0,0.2601294284902152,1.0,low
BI-6,FabI,0.1954022988505747,0.1821013863020578,0.5735294117647058,CHEMBL259268,5.75,1800.0,CHEMBL1075044,B. subtilis,331,0.1836734693877551,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.17345872518286307,0.22689196956012844,0.6764705882352942,0.0,0.24492294321675775,1.0,low
OX-11,FabI,0.1979166666666666,0.1897944071989754,0.7012987012987013,CHEMBL45433,6.03,940.0,CHEMBL3994,S. aureus,331,0.196078431372549,0,0,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,0,0,0,0,0,0,0,0,0,0.1780303030303029,0.24398757155327863,0.8589981447124305,0.0,0.27886176611033564,1.0,low
T2Z14,FabI,0.1743119266055046,0.1688334333914077,0.7051282051282052,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.1711711711711711,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.13511259382819016,0.19740762975868376,0.8644688644688646,0.02,0.2665785340240957,1.0,low
T2Z5,FabI,0.1764705882352941,0.1695140197976128,0.6578947368421053,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.174757281553398,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,541.3910000000003,1.7226999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.13903743315508016,0.1989200439946951,0.7969924812030077,0.02,0.258797599756665,1.0,low
T2Z6,FabI,0.1764705882352941,0.1705429569870802,0.6438356164383562,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.174757281553398,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,496.9400000000003,1.6135999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.13903743315508016,0.20120657108240042,0.7769080234833661,0.02,0.2563565628706451,1.0,low
