compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
X1V11,Gyr,0.28378378378378377,0.265997924745221,0.59375,CHEMBL4863169,7.96,11.0,CHEMBL2094139,E. coli complex,600,0.2631578947368421,0,0
X1V19,Gyr,0.26666666666666666,0.25994292237442923,0.5753424657534246,CHEMBL4863169,7.96,11.0,CHEMBL2094139,E. coli complex,600,0.2625,0,0
X1V20,Gyr,0.26666666666666666,0.25744292237442923,0.5675675675675675,CHEMBL4863169,7.96,11.0,CHEMBL2094139,E. coli complex,600,0.2602739726027397,0,0
X1V26,Gyr,0.3194444444444444,0.30856164383561635,0.6739130434782609,CHEMBL4863169,7.96,11.0,CHEMBL2094139,E. coli complex,600,0.3150684931506849,0,0
X1V9,Gyr,0.3142857142857143,0.28863961547060135,0.5774647887323944,CHEMBL4863169,7.96,11.0,CHEMBL2094139,E. coli complex,600,0.2916666666666667,0,0
BI-1,GyrB,0.375,0.317451558103732,0.6307692307692307,CHEMBL3341781,5.5,3132.0,CHEMBL1921666,S. aureus,253,0.36231884057971014,0,0
BI-6,GyrB,0.31645569620253167,0.2783629095754346,0.6438356164383562,CHEMBL3341781,5.5,3132.0,CHEMBL1921666,S. aureus,253,0.3026315789473684,0,0
OX-11,GyrB,0.20833333333333334,0.1963518325516762,0.7051282051282052,CHEMBL3736056,7.89,13.0,CHEMBL1921666,S. aureus,253,0.19791666666666666,0,0
T2Z14,GyrB,0.2,0.18966368490395952,0.7023809523809523,CHEMBL3735238,7.03,94.0,CHEMBL1921666,S. aureus,253,0.19298245614035087,0,0
T2Z5,GyrB,0.22772277227722773,0.2089745958424818,0.7361111111111112,CHEMBL3735238,7.03,94.0,CHEMBL1921666,S. aureus,253,0.20754716981132076,0,0
T2Z6,GyrB,0.22772277227722773,0.20671749832881572,0.7361111111111112,CHEMBL3735875,6.58,262.0,CHEMBL1921666,S. aureus,253,0.20588235294117646,0,0
T2Z9,GyrB,0.2,0.18584980237154153,0.7023809523809523,CHEMBL3735875,6.58,262.0,CHEMBL1921666,S. aureus,253,0.19090909090909092,0,0
X1V11,GyrB,0.28205128205128205,0.2773230979515523,0.7424242424242424,CHEMBL3962799,5.7,2000.0,CHEMBL1826,E. coli,253,0.28205128205128205,0,0
X1V19,GyrB,0.28169014084507044,0.25255597688696285,0.8135593220338984,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.25,0,0
X1V20,GyrB,0.28169014084507044,0.25255597688696285,0.8305084745762712,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.25,0,0
X1V26,GyrB,0.3,0.28227632490790383,0.6901408450704225,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.28378378378378377,0,0
X1V9,GyrB,0.29411764705882354,0.26972044876960266,0.8448275862068966,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.2692307692307692,0,0
BI-1,LpxA,0.18181818181818182,0.18181818181818182,0.5,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
BI-6,LpxA,0.17204301075268819,0.17204301075268819,0.5135135135135135,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
OX-11,LpxA,0.1958762886597938,0.1958762886597938,0.6538461538461539,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
